estacion,parada,linea,ascensor,escaleras,accesible
['Goya', 8, 4, 1, 0, 1]
['Diego de León', 10, 4, 0, 1, 0]
['Lista', 9, 4, 0, 0, 0]
['Velázquez', 7, 4, 0, 0, 0]
['Serrano', 6, 4, 0, 0, 0]
['Bilbao', 3, 4, 0, 0, 0]
['Alonso Martínez', 4, 4, 0, 1, 0]
['Colón', 5, 4, 0, 0, 0]
['Argüelles', 1, 4, 1, 0, 1]
['San Bernardo', 2, 4, 0, 0, 0]
['Puerta del Sur', 31, 10, 1, 1, 1]
['Joaquín Vilumbrales', 30, 10, 1, 1, 1]
['Cuatro Vientos', 29, 10, 1, 1, 1]
['Aviación Española', 28, 10, 1, 1, 1]
['Colonia Jardín', 27, 10, 0, 0, 1]
[' Lago', 24, 10, 1, 0, 1]
['Batán', 25, 10, 1, 0, 1]
['Casa de Campo', 26, 10, 1, 1, 1]
['Plaza de España', 22, 10, 1, 0, 1]
['Príncipe Pío', 23, 10, 0, 1, 1]
['Tribunal', 21, 10, 0, 1, 0]
['Gregorio Marañón', 19, 10, 1, 0, 1]
['Alonso Martínez', 20, 10, 0, 1, 0]
['Cuzco', 16, 10, 0, 1, 0]
['Nuevos Ministerios', 18, 10, 0, 1, 0]
['Chamartín', 14, 10, 1, 1, 1]
['Plaza de Castilla', 15, 10, 0, 1, 1]
['Santiago Bernabéu', 17, 10, 0, 0, 0]
['Fuencarral', 12, 10, 0, 1, 0]
['Tres Olivos', 11, 10, 1, 1, 1]
['Begoña', 13, 10, 0, 1, 0]
['Montecarmelo', 10, 10, 1, 1, 1]
['Las Tablas', 9, 10, 1, 1, 1]
['La Granja', 7, 10, 1, 1, 1]
['Rda. de la Comunicación', 8, 10, 1, 0, 1]
['La Moraleja', 6, 10, 1, 1, 1]
['Marqués de la Valdavia', 5, 10, 1, 1, 1]
['Manuel de Falla', 4, 10, 1, 1, 1]
['Reyes Católicos', 2, 10, 1, 1, 1]
['Baunatal', 3, 10, 1, 1, 1]
['Hospital Infanta Sofía', 1, 10, 1, 1, 1]
['Argüelles', 24, 6, 1, 0, 1]
['Príncipe Pío', 25, 6, 0, 1, 1]
['Moncloa', 23, 6, 1, 1, 1]
['Vicente Aleixandre', 21, 6, 0, 1, 0]
['Ciudad Universitaria', 22, 6, 1, 1, 1]
['Guzmán el Bueno', 20, 6, 1, 0, 1]
['Cuatro Caminos', 19, 6, 1, 1, 1]
['Nuevos Ministerios', 18, 6, 0, 1, 0]
['República Argentina', 17, 6, 0, 1, 0]
['Avenida de América', 16, 6, 0, 1, 0]
['Diego de León', 15, 6, 0, 1, 0]
["O'Donnell", 13, 6, 0, 1, 0]
['Manuel Becerra', 14, 6, 0, 1, 0]
['Sáinz de Baranda', 12, 6, 1, 1, 1]
['Conde de Casal', 11, 6, 1, 1, 1]
['Pacífico', 10, 6, 0, 1, 1]
[' Arganzuela - Planetario', 8, 6, 1, 1, 1]
